epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4766,1.09644,2.75113,1.47836,0.56598,0.85,0.84903,0.63234,1.65088,1.07617,1.38306,0,0,0
2,7.15338,1.16491,2.77836,1.47498,0.55715,0.85,0.88731,0.62032,1.66538,1.06462,1.38314,1.17822e-06,1.17822e-06,1.17822e-06
3,7.8509,1.09001,2.48725,1.21549,0.55849,0.85,0.8503,0.6164,1.67526,1.05069,1.38406,2.33288e-06,2.33288e-06,2.33288e-06
4,8.50878,1.17021,2.76726,1.48615,0.55003,0.85,0.85731,0.62294,1.66472,1.04002,1.36689,3.46397e-06,3.46397e-06,3.46397e-06
5,9.15408,1.19821,2.3972,1.60826,0.54598,0.85,0.85871,0.62341,1.67396,1.04889,1.36668,4.5715e-06,4.5715e-06,4.5715e-06
6,9.84572,0.82089,1.83264,1.14089,0.55125,0.86027,0.85842,0.61404,1.66957,1.03703,1.3647,5.65548e-06,5.65548e-06,5.65548e-06
7,10.4938,1.40328,2.68942,1.75747,0.54377,0.86667,0.8608,0.62921,1.66434,1.05536,1.36448,6.71588e-06,6.71588e-06,6.71588e-06
8,11.1307,1.232,3.76974,1.6737,0.54769,0.87499,0.89757,0.61685,1.66385,1.05571,1.35839,7.75273e-06,7.75273e-06,7.75273e-06
9,11.7661,0.82506,2.75173,1.23527,0.55213,0.86667,0.89569,0.63297,1.6618,1.05708,1.35585,8.76602e-06,8.76602e-06,8.76602e-06
10,12.4058,1.02579,2.03,1.26033,0.63998,0.94906,0.91167,0.63607,1.6544,1.05619,1.35014,9.75574e-06,9.75574e-06,9.75574e-06
11,13.0609,1.16293,2.12732,1.54615,0.61949,0.95,0.91165,0.64488,1.65101,1.05489,1.34747,1.07219e-05,1.07219e-05,1.07219e-05
12,13.721,0.99073,2.17508,1.35932,0.62959,0.95,0.91071,0.64519,1.65169,1.06067,1.34676,1.16645e-05,1.16645e-05,1.16645e-05
13,14.3732,1.33699,3.03482,1.77824,0.63883,0.95,0.91059,0.64739,1.65357,1.06777,1.34833,1.25835e-05,1.25835e-05,1.25835e-05
14,15.0298,0.81264,2.4167,1.23891,0.6486,0.95,0.91207,0.64727,1.65446,1.0763,1.34914,1.3479e-05,1.3479e-05,1.3479e-05
15,15.6692,1.24085,2.91697,1.51017,0.64967,0.78333,0.91315,0.64807,1.65133,1.08469,1.34866,1.43509e-05,1.43509e-05,1.43509e-05
16,16.3425,1.17683,1.95033,1.49502,0.65464,0.78333,0.91209,0.64735,1.63881,1.0871,1.34365,1.51993e-05,1.51993e-05,1.51993e-05
17,16.9866,0.82992,1.49764,1.18819,0.6513,0.78333,0.91235,0.64774,1.64325,1.09962,1.34747,1.60241e-05,1.60241e-05,1.60241e-05
18,17.6085,0.59447,1.24715,0.97689,0.6513,0.78333,0.91235,0.64774,1.64325,1.09962,1.34747,1.68253e-05,1.68253e-05,1.68253e-05
19,18.273,0.69804,1.4758,1.03382,0.65133,0.78333,0.90988,0.64537,1.64782,1.13303,1.35255,1.7603e-05,1.7603e-05,1.7603e-05
20,18.8949,1.16482,1.7472,1.3385,0.65133,0.78333,0.90988,0.64537,1.64782,1.13303,1.35255,1.83571e-05,1.83571e-05,1.83571e-05
21,19.569,0.76125,1.72535,1.17491,0.65153,0.78333,0.90885,0.64263,1.64314,1.16603,1.35762,1.90876e-05,1.90876e-05,1.90876e-05
22,20.2048,1.05511,1.67626,1.23329,0.65153,0.78333,0.90885,0.64263,1.64314,1.16603,1.35762,1.97946e-05,1.97946e-05,1.97946e-05
23,20.8538,0.89969,1.60969,1.33464,0.81755,0.65,0.85488,0.62735,1.64678,1.18869,1.36051,2.0478e-05,2.0478e-05,2.0478e-05
24,21.4675,0.90842,1.5892,1.21789,0.81755,0.65,0.85488,0.62735,1.64678,1.18869,1.36051,2.11379e-05,2.11379e-05,2.11379e-05
25,22.1249,0.66617,1.97912,1.07427,0.81872,0.65,0.85515,0.62521,1.64761,1.20989,1.36522,2.17741e-05,2.17741e-05,2.17741e-05
26,22.7372,0.8673,1.27813,1.18381,0.81872,0.65,0.85515,0.62521,1.64761,1.20989,1.36522,2.23869e-05,2.23869e-05,2.23869e-05
27,23.3792,0.95499,1.44167,1.4118,0.83016,0.65,0.85454,0.59987,1.67594,1.27195,1.38217,2.2976e-05,2.2976e-05,2.2976e-05
28,24.0269,0.94663,1.19886,1.22928,0.83016,0.65,0.85454,0.59987,1.67594,1.27195,1.38217,2.35417e-05,2.35417e-05,2.35417e-05
29,24.6962,0.97208,1.67424,1.29648,0.82487,0.65,0.85458,0.59999,1.66911,1.29454,1.38006,2.40837e-05,2.40837e-05,2.40837e-05
30,25.3127,1.00533,1.22225,1.29198,0.82487,0.65,0.85458,0.59999,1.66911,1.29454,1.38006,2.46022e-05,2.46022e-05,2.46022e-05
31,25.944,1.00094,1.59444,1.32905,0.80012,0.65,0.85243,0.60164,1.68309,1.35614,1.38882,2.50971e-05,2.50971e-05,2.50971e-05
32,26.5572,0.66027,1.49137,1.2985,0.80012,0.65,0.85243,0.60164,1.68309,1.35614,1.38882,2.55685e-05,2.55685e-05,2.55685e-05
33,27.2211,1.0577,1.90386,1.34138,0.7938,0.65,0.8523,0.58458,1.67301,1.39465,1.38184,2.60163e-05,2.60163e-05,2.60163e-05
34,27.852,1.02336,1.90341,1.41686,0.7938,0.65,0.8523,0.58458,1.67301,1.39465,1.38184,2.64405e-05,2.64405e-05,2.64405e-05
35,28.532,0.92433,1.20597,1.31327,0.77322,0.65,0.84796,0.56666,1.64905,1.42628,1.3696,2.68412e-05,2.68412e-05,2.68412e-05
36,29.1989,1.00999,1.42225,1.36773,0.77322,0.65,0.84796,0.56666,1.64905,1.42628,1.3696,2.72183e-05,2.72183e-05,2.72183e-05
37,29.8746,0.99417,1.04277,1.35097,0.81011,0.6493,0.84525,0.56114,1.61143,1.45865,1.35137,2.75718e-05,2.75718e-05,2.75718e-05
38,30.5352,0.58043,0.85271,0.95926,0.81011,0.6493,0.84525,0.56114,1.61143,1.45865,1.35137,2.79018e-05,2.79018e-05,2.79018e-05
39,31.2029,0.72199,0.76965,1.16959,0.79153,0.63918,0.84535,0.54542,1.59081,1.48772,1.34481,2.82082e-05,2.82082e-05,2.82082e-05
40,31.828,0.76554,1.01961,1.16077,0.79153,0.63918,0.84535,0.54542,1.59081,1.48772,1.34481,2.84911e-05,2.84911e-05,2.84911e-05
41,32.5088,0.77312,1.10764,1.11634,0.76201,0.65,0.84547,0.53019,1.58479,1.54445,1.34523,2.87504e-05,2.87504e-05,2.87504e-05
42,33.1381,0.93406,1.12175,1.19828,0.76201,0.65,0.84547,0.53019,1.58479,1.54445,1.34523,2.89861e-05,2.89861e-05,2.89861e-05
43,33.8107,0.97245,0.98943,1.4463,0.72771,0.65,0.84615,0.53176,1.5754,1.59351,1.34339,2.91983e-05,2.91983e-05,2.91983e-05
44,34.4373,0.67641,0.8981,1.08924,0.72771,0.65,0.84615,0.53176,1.5754,1.59351,1.34339,2.93869e-05,2.93869e-05,2.93869e-05
45,35.111,0.66565,1.40267,1.08532,0.7241,0.65,0.76343,0.45853,1.60214,1.6437,1.35765,2.9552e-05,2.9552e-05,2.9552e-05
46,35.736,0.85257,0.99951,1.25167,0.7241,0.65,0.76343,0.45853,1.60214,1.6437,1.35765,2.96935e-05,2.96935e-05,2.96935e-05
47,36.3758,0.86181,0.75402,1.25316,0.73489,0.65,0.70846,0.3983,1.56456,1.67288,1.34741,2.98114e-05,2.98114e-05,2.98114e-05
48,36.9871,0.76573,0.99925,1.13913,0.73489,0.65,0.70846,0.3983,1.56456,1.67288,1.34741,2.99058e-05,2.99058e-05,2.99058e-05
49,37.644,1.02124,1.11126,1.38337,0.73137,0.65,0.70754,0.39849,1.55265,1.69543,1.34596,2.99766e-05,2.99766e-05,2.99766e-05
50,38.2845,0.66881,0.88492,1.10313,0.73137,0.65,0.70754,0.39849,1.55265,1.69543,1.34596,3.00238e-05,3.00238e-05,3.00238e-05
51,38.9218,0.7224,0.92386,1.2149,0.72179,0.65,0.69402,0.38483,1.59427,1.80422,1.36312,3.00475e-05,3.00475e-05,3.00475e-05
52,39.5471,0.80466,1.64075,1.1744,0.72179,0.65,0.69402,0.38483,1.59427,1.80422,1.36312,3.00476e-05,3.00476e-05,3.00476e-05
53,40.5469,0.55218,0.8894,1.01854,0.72179,0.65,0.69402,0.38483,1.59427,1.80422,1.36312,3.00242e-05,3.00242e-05,3.00242e-05
54,41.1991,0.73793,0.98238,1.1142,0.77876,0.65408,0.68632,0.36133,1.63707,1.89238,1.37996,2.99772e-05,2.99772e-05,2.99772e-05
55,41.8236,0.66096,1.12101,1.15303,0.77876,0.65408,0.68632,0.36133,1.63707,1.89238,1.37996,2.99066e-05,2.99066e-05,2.99066e-05
56,42.4497,0.70789,0.84692,1.25945,0.77876,0.65408,0.68632,0.36133,1.63707,1.89238,1.37996,2.98125e-05,2.98125e-05,2.98125e-05
57,43.0996,0.69717,0.70986,1.19566,0.77862,0.65945,0.68948,0.35889,1.64146,1.94016,1.38062,2.96948e-05,2.96948e-05,2.96948e-05
58,43.7409,0.7553,1.04203,1.19609,0.77862,0.65945,0.68948,0.35889,1.64146,1.94016,1.38062,2.95535e-05,2.95535e-05,2.95535e-05
59,44.3778,0.71098,0.72835,1.23379,0.77862,0.65945,0.68948,0.35889,1.64146,1.94016,1.38062,2.93887e-05,2.93887e-05,2.93887e-05
60,45.0142,0.75401,0.95042,1.28141,0.77989,0.48333,0.69348,0.35769,1.6909,1.97455,1.41078,2.92003e-05,2.92003e-05,2.92003e-05
61,45.6413,0.61284,0.69205,1.05642,0.77989,0.48333,0.69348,0.35769,1.6909,1.97455,1.41078,2.89884e-05,2.89884e-05,2.89884e-05
62,46.2418,0.77315,0.89241,1.29826,0.77989,0.48333,0.69348,0.35769,1.6909,1.97455,1.41078,2.87529e-05,2.87529e-05,2.87529e-05
63,46.8777,0.68424,0.81595,1.16348,0.7871,0.48333,0.56944,0.26912,1.73022,2.01286,1.42831,2.84938e-05,2.84938e-05,2.84938e-05
64,47.5015,0.81393,0.79335,1.08377,0.7871,0.48333,0.56944,0.26912,1.73022,2.01286,1.42831,2.82112e-05,2.82112e-05,2.82112e-05
65,48.1132,0.6066,0.68242,1.03647,0.7871,0.48333,0.56944,0.26912,1.73022,2.01286,1.42831,2.7905e-05,2.7905e-05,2.7905e-05
66,48.7697,0.92275,1.97753,1.31905,0.77316,0.48333,0.55569,0.26052,1.68148,2.06942,1.40934,2.75753e-05,2.75753e-05,2.75753e-05
67,49.4205,0.76743,0.89145,1.17673,0.77316,0.48333,0.55569,0.26052,1.68148,2.06942,1.40934,2.7222e-05,2.7222e-05,2.7222e-05
68,50.0677,0.65742,0.76553,1.04377,0.77316,0.48333,0.55569,0.26052,1.68148,2.06942,1.40934,2.68451e-05,2.68451e-05,2.68451e-05
69,50.7466,0.70109,0.67476,1.27267,0.77735,0.48333,0.55498,0.25603,1.77365,2.11477,1.44423,2.64447e-05,2.64447e-05,2.64447e-05
70,51.3848,0.9602,1.05845,1.38433,0.77735,0.48333,0.55498,0.25603,1.77365,2.11477,1.44423,2.60207e-05,2.60207e-05,2.60207e-05
71,52.0103,0.66766,0.70023,1.15118,0.77735,0.48333,0.55498,0.25603,1.77365,2.11477,1.44423,2.55731e-05,2.55731e-05,2.55731e-05
72,52.6549,0.6271,1.0086,1.15688,0.81853,0.48333,0.57664,0.26766,1.81688,2.17343,1.46776,2.5102e-05,2.5102e-05,2.5102e-05
73,53.2861,0.60023,0.57912,1.14603,0.81853,0.48333,0.57664,0.26766,1.81688,2.17343,1.46776,2.46073e-05,2.46073e-05,2.46073e-05
74,53.8958,1.04647,1.83026,1.47464,0.81853,0.48333,0.57664,0.26766,1.81688,2.17343,1.46776,2.40891e-05,2.40891e-05,2.40891e-05
75,54.5354,0.97268,0.91439,1.2534,0.78867,0.48333,0.53771,0.26463,1.78665,2.17777,1.43941,2.35472e-05,2.35472e-05,2.35472e-05
76,55.1665,0.90088,0.86665,1.33548,0.78867,0.48333,0.53771,0.26463,1.78665,2.17777,1.43941,2.29819e-05,2.29819e-05,2.29819e-05
77,55.8625,0.65988,0.62857,1.03314,0.78867,0.48333,0.53771,0.26463,1.78665,2.17777,1.43941,2.23929e-05,2.23929e-05,2.23929e-05
78,56.5359,0.67445,1.00074,1.13035,0.81997,0.48333,0.55165,0.26719,1.80813,2.21593,1.45382,2.17805e-05,2.17805e-05,2.17805e-05
79,57.1849,0.82779,1.37207,1.30297,0.81997,0.48333,0.55165,0.26719,1.80813,2.21593,1.45382,2.11444e-05,2.11444e-05,2.11444e-05
80,57.845,0.63053,0.58266,1.12554,0.81997,0.48333,0.55165,0.26719,1.80813,2.21593,1.45382,2.04848e-05,2.04848e-05,2.04848e-05
81,58.5096,0.78311,0.82345,1.1029,0.82779,0.48333,0.54908,0.26681,1.80312,2.21657,1.44738,1.98016e-05,1.98016e-05,1.98016e-05
82,59.1346,0.44735,0.44987,0.941,0.82779,0.48333,0.54908,0.26681,1.80312,2.21657,1.44738,1.90949e-05,1.90949e-05,1.90949e-05
83,59.7441,0.68888,0.73784,1.0365,0.82779,0.48333,0.54908,0.26681,1.80312,2.21657,1.44738,1.83646e-05,1.83646e-05,1.83646e-05
84,60.3916,0.81106,1.38302,1.25607,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.76107e-05,1.76107e-05,1.76107e-05
85,61.0041,0.60518,0.74611,1.16196,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.68333e-05,1.68333e-05,1.68333e-05
86,61.6361,0.60897,0.80746,1.14018,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.60323e-05,1.60323e-05,1.60323e-05
87,62.2671,0.57863,0.6391,1.08386,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.52077e-05,1.52077e-05,1.52077e-05
88,62.9376,0.70344,0.94526,1.09808,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.43596e-05,1.43596e-05,1.43596e-05
89,63.594,0.66468,0.79614,1.16117,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.34879e-05,1.34879e-05,1.34879e-05
90,64.2269,0.7881,0.67725,1.09976,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.25927e-05,1.25927e-05,1.25927e-05
91,74.5129,0.5717,0.49336,1.05983,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.16739e-05,1.16739e-05,1.16739e-05
92,75.2463,0.45704,0.48272,0.85214,0.79491,0.48333,0.52094,0.26167,1.83209,2.28346,1.47761,1.07315e-05,1.07315e-05,1.07315e-05
